시군,읍 면,리 동,번 지,대상면적(헥타르),주요명칭
천 안,목천,교촌,산28-21외2,15,흑성산
천 안,직산,군동,산9-1,3,
공 주,사곡,운암,산74-2외5,50,태화산
공 주,웅진,웅진,산21-1외1,1,곰나루솔밭
공 주,사곡,가교,산38-1외4,20,
공 주,계룡,양화,산9-1외1,15,능산
공 주,사곡,호계,산54외1,8,철승산자락
공 주,신풍,봉갑,산70-1외1,10,
공 주,계룡,하대,산32-1,3,
공 주,사곡,운암,산77-3,40,태화산자락
보 령,웅천,노천,산16-1,0.9,
보 령,웅천,죽청,산174외1,4,능굴산
보 령,대천,대천,산21-6,3,봉황산
보 령,신흑,신흑,704-7외1,1.9,땅메산
아 산,송악,유곡,산75-2,5,봉수산
아 산,송악,강당,317-5,5,광덕산
아 산,송악,외암,산43외2,5,설화산
아 산,도고,시전,산11외2,20,도고산
아 산,도고,기곡,산3-2외3,3.5,삼봉산
아 산,염치,백암,산52외28,35,방화산
아 산,염치,대동,산4-1외7,15,방화산
아 산,염치,산양,산32-2외13,10,영인산
아 산,음봉,삼거,산2-1,20,
서 산,팔봉,양길,산127외1,4,팔봉산
서 산,읍내,읍내,산4-1외1,4,부춘산
서 산,읍내,읍내,대482-1,0.1,
서 산,운산,신창,산8,4,가야산
서 산,인지,애정,산123,1,
서 산,해미,오학,산54,2,
서 산,해미,대곡,산382,0.2,
서 산,인지,성리,산37-1,4,비룡산
서 산,해미,읍내,산31-1,3,해미읍성
논 산,부적,신풍,산4,2.5,계백장군
논 산,부적,신풍,산4,2.5,계백장군
논 산,부적,신풍,산4,2.5,계백장군
논 산,부적,신풍,산4,2.5,계백장군
논 산,부적,신풍,산4,2.5,계백장군
논 산,부적,신풍,산4,2.5,계백장군
논 산,부적,신풍,산4,2.5,계백장군
논 산,부적,신풍,산4,2.5,계백장군
계 룡,두마,왕대,산21-1,5,왕대산
당 진,당진,사기소,산189-4,0.4,이배산
당 진,신평,남산,산40외3,7,남산
당 진,우강,송산,산45-3,1,
당 진,정미,수당,산13외8,8,봉화산
당 진,면천,성하,산70외3,10,상왕산
당 진,송악,가교,산63,7,
당 진,면천,죽동,산57외1,2,아미산
당 진,정미,봉성,산9,10,봉화산
당 진,고대,진관,산178-4,10,영파산
금 산,금성,마수,720-18,0.6,
금 산,남이,하금,천829,0.5,
금 산,추부,요광3,산32외1,1.5,
금 산,금성,상가,산10-1외9,2,
금 산,제원,길곡,산30외4,2,
부 여,외산,삼산,산40,10,만수산
부 여,부여,쌍북,산4,10,부소산
부 여,임천,군사,산1-1외2,10,성흥산
부 여,충화,오덕,산62-1,5,금계산
부 여,외산,지선,산34외3,3,성태산
부 여,세도,귀덕,491-1외2,1.5,함박산
부 여,구룡,태양,산29,0.5,
부 여,규암,합송,산8-2외1,2,오목산
서 천,비인,율,산8-1,2,월명산
서 천,기산,영모,산1-1외1,10,숭정산
서 천,종천,종천,산208-127외1,3.7,
청 양,청양,장승,산140-1,2,천태산
청 양,화성,화암,산30,5,오서산
청 양,화성,기덕,산6,5,덕명산
청 양,화성,농암,산93-1,0.7,서광산
청 양,운곡,영양,879-1,2,백월산
청 양,비봉,중묵,517-2,2,자황산
청 양,대치,대치,산34-1,2,
홍 성,장곡,화계,산41,0.1,
홍 성,홍성,남장,산44-2,0.5,남산
홍 성,결성,읍내,산28-2,3,석당산
홍 성,홍동,신기,산61외1,1,
홍 성,서부,이호,산70-5외3,25,우심산
홍 성,결성,읍내,산22,0.7,
홍 성,홍동,신기, 산142,0.6,
홍 성,장곡,산성, 산24-1,0.8,
홍 성,갈산,취생, 산76-1,1.2,
예 산,예산,향천,산7외4,2,금오산
예 산,대흥,노동,산1-5외6,6.3,
예 산,대술,방산,산7-1,5,천방산
예 산,대술,시산,산96외3,5,매봉산
예 산,신양,신양,산33-1,7,동화산
예 산,덕산 ,사동,산14-3외3,3,퇴미산
예 산,봉산,대지,산31외1,3,
예 산,대흥,교촌,538,3,
예 산,덕산 ,시량,산14-3외4,3,
예 산,덕산 ,사천,산4-1외2,25,덕숭산
태 안,태안,상옥,산132외1,3,백화산
태 안,안면,승언,산31-1외3,156,조개산
태 안,안면,중장,산50-1외4,123.3,조남산
태 안,안면,창기,산24-12외1,24.7,국사봉
