"시스템키","가로수길명","가로수길시작경도","가로수길시작위도","가로수길종료경도","가로수길종료위도","가로수종류","가로수수량","가로수길길이","식재년도","가로수길소개","도로명","도로종류","도로구간","관리기관전화번호","관리기관명","데이터기준일자","제공기관코드","제공기관명"
"3565","북면위례성로길","127.252726","36.770041","127.250476","36.771255","벚나무","105","14","","벚나무가 식재되어 있어 봄꽃길을 선사함","","","연춘리~북면면사무소","041-521-2778","충청남도천안시","2022-06-15","4490000",""
"3566","번영로","127.127391","36.853156","127.149231","36.863283","이팝나무","1034","2","","이팝나무 식재되어 있어 봄꽃길을 선사함","","","운동장사거리~세집매삼거리","041-521-2778","충청남도천안시","2022-06-15","4490000",""
"3567","버들로길","127.158416","36.806721","127.154429","36.808278","능수버들","119","1","","능수버들 상징수목","","","원성주유소~천안역","041-521-2778","충청남도천안시","2022-06-15","4490000",""
"3568","태조산길","127.188127","36.824893","127.196583","36.818666","은행나무","325","1.5","","은행나무가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음","","","태조산공원~계성원입구","041-521-2778","충청남도천안시","2022-06-15","4490000",""
"3569","국도29호선","126.500907","36.070708","126.471505","36.211601","이팝나무+왕벚나무","1484","39.54","","국도변","국도29호선","일반국도","양화면(서천경계)~은산면 나령리(청양경계)","041-830-2428","충청남도 부여군청","2022-11-16","4570000",""
"3570","국도40호선","126.592104","36.195301","126.433104","36.170807","소나무+은행나무+왕벚나무+이팝나무","1117","37.03","","국도변","국도40호선","일반국도","부여읍(공주경계)~외산면(보령경계)","041-830-2428","충청남도 부여군청","2022-11-16","4570000",""
"3571","계백로","126.552108","36.170004","126.525005","36.162706","소나무+왕벚나무+이팝나무+단풍나무","290","4.4","","시가지","계백로","지방도","부여읍 동부농협사거리~규암초","041-830-2428","충청남도 부여군청","2022-11-16","4570000",""
"3572","국도4호선","127.034681","36.130774","126.420108","36.110538","이팝나무+소나무","3373","36.51","","국도변","국도4호선","일반국도","석성면(논산경계)~옥산면(서천경계)","041-830-2428","충청남도 부여군청","2022-11-16","4570000",""
"3573","궁남로","126.545101","36.161306","126.544507","36.163308","소나무","64","0.6","","시가지","궁남로","지방도","부여읍 궁남사거리~궁남지주차장","041-830-2428","충청남도 부여군청","2022-11-16","4570000",""
"3574","금성로","126.545905","36.163308","126.554504","36.160505","소나무+은행나무","280","1.5","","시가지","금성로","지방도","부여읍 가탑리~부여박물관","041-830-2428","충청남도 부여군청","2022-11-16","4570000",""
"3575","나루터로","126.544101","36.165903","126.542557","36.171798","소나무+왕벚나무+은행나무","342","0.7","","시가지","나루터로","지방도","부여읍 구드래공원~백제대교","041-830-2428","충청남도 부여군청","2022-11-16","4570000",""
"3576","마정로","126.520908","36.135207","126.502405","36.125809","이팝나무","66","3.5","","시가지","마정로","지방도","장암면 합곡리~합곡삼거리","041-830-2428","충청남도 부여군청","2022-11-16","4570000",""
