관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
44250-00018,공원5,소공원,,충청남도 계룡시 두마면 입암리 630,36.25224221,127.2682701,562,운동기구(3종),,파고라(1)+의자(4),,음수대(1)+보안등(3)+보호수(1),2012-10-17,충청남도 계룡시청,042-840-2663,2023-08-08
44250-00019,공원7,소공원,,충청남도 계룡시 신도안면 남선리 1259,36.29738147,127.2398812,11607,,,,,,2014-11-10,충청남도 계룡시청,042-840-2663,2023-08-08
44250-00020,공원9,소공원,,충청남도 계룡시 두마면 농소리 185,36.259946,127.255807,498,,,,,,2014-12-30,충청남도 계룡시청,042-840-2663,2023-08-08
44250-00021,남선소공원1,소공원,,충청남도 계룡시 신도안면 남선리 1312,36.30202617,127.2456228,4967,,,의자(4)+가로등,,,2009-12-30,충청남도 계룡시청,042-840-2663,2023-08-08
44250-00022,입암공원1,역사공원,,충청남도 계룡시 두마면 입암리 99,36.249119,127.270743,10015,운동기구(2종),,파고라(1)+의자(4),신석기 유적,,2007-02-21,충청남도 계룡시청,042-840-2663,2023-08-08
44250-00023,금암공원1,수변공원,,충청남도 계룡시 금암동 22-1,36.27429996,127.2586915,40505,운동기구(16종),,파고라(1)+정자(2)+의자(36),,화장실(1)+음수대(5)+보안등(77)+CCTV,1991-07-31,충청남도 계룡시청,042-840-2663,2023-08-08
44250-00024,용수말2,수변공원,,충청남도 계룡시 두마면 농소리 245-1,36.25633598,127.2541214,2590,,,,,,2014-12-30,충청남도 계룡시청,042-840-2663,2023-08-08
44250-00025,팥거리공원1,체육공원,,충청남도 계룡시 두마면 두계리 1-2,36.263635,127.2788158,16644,,,,,,2020-03-30,충청남도 계룡시청,042-840-2663,2023-08-08
44250-00001,공원11,근린공원,,충청남도 계룡시 두마면 농소리 산11-5,36.258773,127.2563677,19356,,,,,,2014-12-30,충청남도 계룡시청,042-840-2663,2023-08-08
44250-00002,공원9,근린공원,,충청남도 계룡시 두마면 농소리 1063,36.26308322,127.2576623,32534,운동기구(6종),,,,화장실(1)+CCTV(2),2012-08-27,충청남도 계룡시청,042-840-2663,2023-08-08
44250-00003,대실공원2,근린공원,,충청남도 계룡시 두마면 농소리 산4,36.260524,127.262853,81289,,,,,,1991-07-31,충청남도 계룡시청,042-840-2663,2023-08-08
