관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
44150-00021,산성문화공원,문화공원,,충청남도 공주시 산성동 181-149,36.4567323255,127.1228908777,3680,,,,,,2010-04-01,충청남도 공주시청,041-840-8557,2022-11-21
44150-00020,금낙원공원,소공원,,충청남도 공주시 중동 64-6,36.4552066268,127.1257792523,653,,,,,,2013-12-02,충청남도 공주시청,041-840-8557,2022-11-21
44150-00019,금학소공원,소공원,,충청남도 공주시 금학동 250-29,36.4415652204,127.1196152307,825,,,,,,2016-11-15,충청남도 공주시청,041-840-8557,2022-11-21
44150-00018,숲속놀이터,어린이공원,,충청남도 공주시 월송동 621,36.4757355242,127.1543990619,1500,,,,,등의자+운동기구,2014-12-02,충청남도 공주시청,041-840-8557,2022-11-21
44150-00017,봉곡공원,근린공원,충청남도 공주시 반포면 원당3길 24,,36.40727791,127.2425582,30870,,,,,,2009-02-20,충청남도 공주시청,041-840-8557,2022-11-21
44150-00016,반포공원,근린공원,,충청남도 공주시 반포면 봉곡리 산7-1,36.40463415,127.2484899,85090,,,,,,2009-02-20,충청남도 공주시청,041-840-8557,2022-11-21
44150-00015,바람공원,어린이공원,,충청남도 공주시 유구읍 석남리 366-2,36.55001366,126.9481927,1642,,,,,,2008-09-12,충청남도 공주시청,041-840-8557,2022-11-21
44150-00014,돝음별 공원,근린공원,,충청남도 공주시 월송동 513,36.472719,127.153021,24853,,,,,,2008-01-03,충청남도 공주시청,041-840-8557,2022-11-21
44150-00013,풀향기숲공원,근린공원,,충청남도 공주시 금흥동 산45-11,36.479368,127.153254,70748,,,,,,2008-01-03,충청남도 공주시청,041-840-8557,2022-11-21
44150-00012,신금공원,소공원,,충청남도 공주시 금흥동 607-4,36.479325,127.141235,2297,,,,,등의자+운동기구,2005-11-30,충청남도 공주시청,041-840-8557,2022-11-21
44150-00011,한적골공원,어린이공원,,충청남도 공주시 금흥동 612-1,36.478645,127.139005,1630,,조합놀이대+시소+그네+사다리,,,등의자,2005-11-30,충청남도 공주시청,041-840-8557,2022-11-21
44150-00010,관골2공원,어린이공원,,충청남도 공주시 신관동 665,36.4751917742,127.135562,1601,,조합놀이대+시소+그네,,,사각정자+등의자+원형의자,2002-03-11,충청남도 공주시청,041-840-8557,2022-11-21
44150-00009,앵산공원,근린공원,충청남도 공주시 중앙공원1길 11(중동),,36.4525378296,127.1254230974,9431,,,주차장,4.19기념비+신두영선생공적비,팔각정자+평의자+운동기구,1997-04-19,충청남도 공주시청,041-840-8557,2022-11-21
44150-00008,미나리공원,어린이공원,충청남도 공주시 미나리3길 9(금성동),,36.4628406522,127.1223025966,2182,,,,누각,경로당+등의자+평의자.파고라+운동기구,1987-09-15,충청남도 공주시청,041-840-8557,2022-11-21
44150-00007,백미고을공원,어린이공원,충청남도 공주시 백미고을길 9-4(금성동),,36.465189,127.1222955855,1540,,조합놀이대,매점,,등의자+평의자+자전거주차대+나드리센터,1987-09-15,충청남도 공주시청,041-840-8557,2022-11-21
44150-00006,덕성공원,어린이공원,,충청남도 공주시 신관동 649-1,36.473778,127.134121,1500,,조합놀이대,,,사각정자+파고라+등의자+운동기구,1985-12-28,충청남도 공주시청,041-840-8557,2022-11-21
44150-00005,신금2공원,어린이공원,,충청남도 공주시 신관동 21,36.472539,127.145129,1602,,조합놀이대,,,사각정자+파고라+등의자+운동기구,1985-12-28,충청남도 공주시청,041-840-8557,2022-11-21
44150-00004,현대A공원,어린이공원,충청남도 공주시 공주대학로 23-19(신관동),,36.4677355,127.1364234053,1600,,조합놀이대,,,파고라+평의자+등의자+민방위급수시설,1985-12-28,충청남도 공주시청,041-840-8557,2022-11-21
44150-00003,번영1공원,어린이공원,충청남도 공주시 번영2로 40-5(신관동),,36.471061,127.1343905655,1945,게이트볼장,조합놀이대+시소,화장실,,,1985-12-28,충청남도 공주시청,041-840-8557,2022-11-21
44150-00002,관골1공원,어린이공원,,충청남도 공주시 신관동 589-5,36.471882,127.130154,1942,,조합놀이대+시소,,,사각정자+평의자+등의자,1985-12-28,충청남도 공주시청,041-840-8557,2022-11-21
44150-00001,신관공원,근린공원,,충청남도 공주시 신관동 366-6,36.47438396,127.1312259,37995,,,,,,1985-12-28,충청남도 공주시청,041-840-8557,2022-11-21
