관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
44230-00001,논산 6호 근린공원(시민공원),근린공원,,충청남도 논산시 관촉동 296-1,36.1931060,127.1072722,43429,,,,,,2011-05-02,충청남도 논산시 산림공원과,041-746-6165,2025-12-28
44230-00002,내동2지구 1호 근린공원(내동공원),근린공원,,충청남도 논산시 내동 1115,36.1818743,127.1052800,21252,,,,,,2007-01-02,충청남도 논산시 산림공원과,041-746-6165,2025-12-28
44230-00003,강경 2호 근린공원(북옥공원),근린공원,,충청남도 논산시 강경읍 북옥리 113,36.1645297,127.0122886,50422,,,,,,1976-12-08,충청남도 논산시 산림공원과,041-746-6165,2025-12-28
44230-00004,연무 3호 근린공원(마산공원),근린공원,충청남도 논산시 연무읍 안심로 70-12,충청남도 논산시 연무읍 마산리 산 6-19,36.1265583,127.1004664,9120,,,,,,1987-11-27,충청남도 논산시 산림공원과,041-746-6165,2025-12-28
44230-00005,동산일반산단 1호 근린공원,근린공원,,충청남도 논산시 연무읍 동산리 977,36.1302683,127.1356792,48508,,,,,,2009-11-30,충청남도 논산시 산림공원과,041-746-6165,2025-12-28
44230-00006,논산2일반산단 1호 근린공원,근린공원,충청남도 논산시 성동면 산업단지로5길 73-19,충청남도 논산시 성동면 원남리 1212-8,36.2163231,127.0438601,9182,,,,,,2011-03-08,충청남도 논산시 산림공원과,041-746-6165,2025-12-28
44230-00007,강경 1호 역사공원(황산공원),근린공원,,충청남도 논산시 강경읍 황산리 81-23,36.1563345,127.0097903,20329,,,,,,1976-12-07,충청남도 논산시 산림공원과,041-746-6165,2025-12-28
44230-00008,강경 1호 문화공원(강경젓갈 문화체험공원),근린공원,충청남도 논산시 강경읍 옥녀봉로27번길 30-5,충청남도 논산시 강경읍 염천리 20,36.1609786,127.0146220,6887,,,,,,2011-05-02,충청남도 논산시 산림공원과,041-746-6165,2025-12-28
44230-00009,연무 1호 문화공원(육군훈련소 상징공원),근린공원,충청남도 논산시 연무읍 득안대로 423,충청남도 논산시 연무읍 죽평리 390,36.1088436,127.0986530,2720,,,,,,2011-05-02,충청남도 논산시 산림공원과,041-746-6165,2025-12-28
44230-00010,연무 2호 문화공원(육군훈련소 상징공원),근린공원,충청남도 논산시 연무읍 득안대로 390,충청남도 논산시 연무읍 황화정리 971-41,36.1054371,127.0989530,2951,,,,,,2011-05-02,충청남도 논산시 산림공원과,041-746-6165,2025-12-28
