관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
44270-00033,공원:138(수청지구),소공원,,충청남도 당진시 수청동 867,36.89729841,126.6471116,1076,,,,,,2016-12-30,충청남도 당진시청,041-350-4192,2026-02-10
44270-00034,공원:139(수청지구),소공원,,충청남도 당진시 수청동 849-32,36.89346951,126.6468852,732,,,,,,2016-12-30,충청남도 당진시청,041-350-4192,2026-02-10
44270-00035,공원:140(수청2지구),근린공원,,충청남도 당진시 수청동 산178,36.88923325,126.6515761,32249,,,,,,2017-07-20,충청남도 당진시청,041-350-4192,2026-02-10
44270-00036,공원:141(수청2지구),어린이공원,,충청남도 당진시 수청동 261,36.887243,126.656975,2653,,,,,,2017-07-20,충청남도 당진시청,041-350-4192,2026-02-10
44270-00037,공원:142(수청2지구),소공원,,충청남도 당진시 수청동 228,36.88803898,126.653543,468,,,,,,2017-07-20,충청남도 당진시청,041-350-4192,2026-02-10
44270-00038,공원:143,소공원,,충청남도 당진시 채운동 256-3,36.89294605,126.625155,215,,,,,,2017-09-29,충청남도 당진시청,041-350-4192,2026-02-10
44270-00039,자연바람공원(154호 소공원),소공원,,충청남도 당진시 수청동 1754,36.901637329,126.6555340284,247,,,,,,2019-01-24,충청남도 당진시청,041-350-4192,2026-02-10
44270-00040,공원:144(읍내1지구),어린이공원,,충청남도 당진시 읍내동 37,36.89573899,126.6396608,2933,,,,,,2018-11-30,충청남도 당진시청,041-350-4192,2026-02-10
44270-00041,햇살공원(145호 소공원),소공원,,충청남도 당진시 수청동 1824,36.897407414,126.6479629125,630,,,,,,2019-01-24,충청남도 당진시청,041-350-4192,2026-02-10
44270-00042,희망공원(146호 어린이공원),어린이공원,,충청남도 당진시 수청동 1681,36.9012218449,126.6526245409,1510,,,,,,2019-01-24,충청남도 당진시청,041-350-4192,2026-02-10
44270-00043,꿈틀꿈틀공원(147호 어린이공원),어린이공원,,충청남도 당진시 수청동 1800,36.901184486,126.6563876191,1715,,,,,,2019-01-24,충청남도 당진시청,041-350-4192,2026-02-10
44270-00044,노을공원(148호 어린이공원),어린이공원,,충청남도 당진시 수청동 1845,36.89732419,126.6496524807,5232,,,,,,2019-01-24,충청남도 당진시청,041-350-4192,2026-02-10
44270-00045,잼잼공원(149호 어린이공원),어린이공원,,충청남도 당진시 수청동 1856,36.89717148,126.6522888284,9078,,,,,,2019-01-24,충청남도 당진시청,041-350-4192,2026-02-10
44270-00046,다람쥐공원(150호 어린이공원),어린이공원,,충청남도 당진시 수청동 1974,36.8937122646,126.6498918121,1624,,,,,,2019-01-24,충청남도 당진시청,041-350-4192,2026-02-10
44270-00047,부엉이공원(151호 어린이공원),어린이공원,,충청남도 당진시 수청동 2084,36.8942435079,126.6533711302,1518,,,,,,2019-01-24,충청남도 당진시청,041-350-4192,2026-02-10
44270-00048,기차공원(152호 어린이공원),어린이공원,,충청남도 당진시 수청동 2133,36.89295638,126.6493963894,5800,,,,,,2019-01-24,충청남도 당진시청,041-350-4192,2026-02-10
