관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
44180-10001,신설중앙공원,어린이공원,충청남도 보령시 신설3길 59(동대동),충청남도 보령시 동대동 1100 대한노인회신설동경로당,36.35206283,126.6053936,2590.7,체육시설5+농구대2,조합놀이대1+ 흔들놀이기구2+시소2+그네1,정자1+파고라1+의자11+오석벤치1세트,,가로등2+cctv1,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-10002,오랏공원,어린이공원,충청남도 보령시 큰오랏7길 5(동대동),충청남도 보령시 동대동 1607 동대3통노인회관,36.34854741,126.6084195,3400.9,체육시설3+운동기구3+농구대2+시소2+철봉1,조합놀이대1+흔들놀이기구2+회전놀이기구1+시소1,정자2+파고라1+의자12+오석벤치1세트,,가로등2+cctv1+화장실1,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-10003,한성필공원,어린이공원,,충청남도 보령시 동대동 1971,36.35119555,126.6160706,2366.8,,조합놀이대1+ 시소1+그네1,정자1,,가로등5+cctv1,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-10004,원평공원,어린이공원,,충청남도 보령시 동대동 1974,36.35011122,126.6142628,1500,체육시설3,조합놀이대1+흔들놀이기구5,의자9+버섯의자5+나뭇잎의자2+파고라1,,가로등4,2008-11-06,충청남도 보령시,041-930-4086,2025-04-01
44180-10005,희망공원,어린이공원,충청남도 보령시 희망2길 96-12(동대동),충청남도 보령시 동대동 1341 동대8통노인회관,36.3466985496,126.6001308,1585.3,체육시설4+철봉1,조합놀이대1+그네1,의자4+등의자3+사각의자1+파고라1,,화장실1+cctv2,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-10006,여울공원,어린이공원,,충청남도 보령시 동대동 928,36.3436195674,126.6049138709,2015,체육시설3+운동기구2,조합놀이대1+그네1+시소2+흔들놀이기구2,정자1+의자2+등의자3+평상의자2,,게이트볼장1,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-10007,햇살공원,어린이공원,"충청남도 보령시 현충탑길 65(궁촌동, 에스케이뷰아파트)",충청남도 보령시 궁촌동 366,36.34261176,126.5986556,2640.3,체육시설5+농구대1,미끄럼틀1,정자2+의자9+오석의자3,,가로등5+cctv1,2004-02-20,충청남도 보령시,041-930-4086,2025-04-01
44180-10008,알라딘공원,어린이공원,,충청남도 보령시 명천동 389-1,36.34265098,126.6066418,3630,체육시설6+운동기구1+농구대2,조합놀이대1+흔들놀이기구2+시소1,정자3+파고라1+의자8+오석벤치1세트,,가로등12,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-10009,코아루공원,어린이공원,,충청남도 보령시 명천동 1011,36.33940258,126.6093841,3507,체육시설4+운동기구12,조합놀이대1+그네1+시소2+회전놀이기구1,정자2+파고라1+의자12,,가로등1+cctv1,2005-11-10,충청남도 보령시,041-930-4086,2025-04-01
44180-10010,죽정공원,어린이공원,,충청남도 보령시 죽정동 675-10,36.36104068,126.6024815,1570,체육시설8+운동기구1+농구대1,조합놀이대1+스피드레이서1,정자3+의자6+등의자1,,가로등2+cctv1,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-10011,성지공원,어린이공원,,충청남도 보령시 죽정동 775-2,36.3613053192,126.6021238745,1026.8,운동기구2,조합놀이대1+그네1+시소2+흔들놀이기구2,정자3+의자3+,,가로등3+cctv2,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-10012,관촌공원,어린이공원,,충청남도 보령시 대천동 395-11,36.35397128,126.5890826,1542,체육시설3+운동기구3,미끄럼틀1+그네1+시소2,정자1+파고라1+의자8,,가로등2+cctv1,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-10013,봉산공원,어린이공원,,충청남도 보령시 대천동 134-7,36.3538230968,126.5974446765,2416,체육시설9,조합놀이대1+흔들놀이기구3+스피드레이서1+시소3,정자3+의자8+등의자3+오석의자4,,가로등5+cctv1,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-10014,구시중앙공원,어린이공원,,충청남도 보령시 대천동 318-38,36.34807452,126.5918848,2184,체육시설7,조합놀이대1,정자1+의자6,,,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-10015,샛별공원,어린이공원,충청남도 보령시 작은오랏2길 16-11(동대동),충청남도 보령시 동대동 1757,36.34756352,126.6044155,2338.4,운동시설4,조합놀이대1,파고라1+벤치5+의자2+오석벤치1세트+오석의자3,,화장실1+cctv1,1993-04-07,충청남도 보령시,041-930-4086,2025-04-01
44180-10016,신설공원,어린이공원,충청남도 보령시 신설5길 20(동대동),"충청남도 보령시 동대동 1207 사랑실은교통봉사대, 보령시게이트볼연합회",36.35006717,126.6034995398,2340,운동기구1,,파고라1+의자4+아치형돌의자2,,게이트볼장2(샐내+실외)+화장실1,1993-04-07,충청남도 보령시,041-930-4086,2025-04-01
44180-10017,샘터공원,어린이공원,충청남도 보령시 큰오랏2길 70(동대동),충청남도 보령시 동대동 1368 공중화장실,36.35092177,126.6080097,2200.2,운동기구5+베드민턴장1,조합놀이대1+그네1,파고라1+정자1+의자9+등의자2+오석벤치1세트,,화장실1,1993-04-07,충청남도 보령시,041-930-4086,2025-04-01
44180-10018,궁촌공원,어린이공원,,충청남도 보령시 궁촌동 352-2,36.3435162190,126.5917333,1501.3,,조합놀이대1,파고라1+의자2+등의자2,,가로등5+화장실1+cctv1,2001-12-08,충청남도 보령시,041-930-4086,2025-04-01
44180-10019,방축공원,어린이공원,,충청남도 보령시 웅천읍 대창리 375-14,36.23065265,126.6052704,1950,운동기구9,조합놀이대1+시소1,정자1,,가로등2,1987-10-02,충청남도 보령시,041-930-4086,2025-04-01
44180-10020,소미공원,어린이공원,,충청남도 보령시 대천동 493-1,36.3586039585,126.5837181,1703,,조합놀이대1+흔들놀이기구3,파고라3평의자9,,,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-10021,용못공원,어린이공원,,충청남도 보령시 죽정동 693-13,36.35749323,126.6027566,1603,운동기구4,놀이시설6,파고라1,,,1995-08-08,충청남도 보령시,041-930-4086,2025-04-01
44180-10022,갈매기공원,어린이공원,충청남도 보령시 주공로 33(동대동),"충청남도 보령시 명천동 414 동대주공1차,2차,3차아파트",36.3436195674,126.6049138709,3434,운동기구3,놀이시설3,파고라3,,,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-10023,생활권공원 45호,어린이공원,,충청남도 보령시 명천동 1399,36.3373748276,126.6100949321,4259,운동기구3,놀이시설5,파고라3,,,2012-10-02,충청남도 보령시,041-930-4086,2025-04-01
44180-10024,생활권공원 46호,어린이공원,,충청남도 보령시 명천동 1387,36.33746788,126.6049853,5150,운동기구4,놀이시설13,파고라3,,,2015-06-10,충청남도 보령시,041-930-4086,2025-04-01
44180-10025,관창일반산업단지,어린이공원,충청남도 보령시 주포면 배재길 205,충청남도 보령시 주포면 관산리 산6-30,36.4063801,126.5826737,1220,,,,,,1993-02-04,충청남도 보령시,041-930-4086,2025-04-01
44180-10026,관창일반산업단지,어린이공원,충청남도 보령시 주포면 원당길 30,"충청남도 보령시 주포면 봉당리 산18-1, 봉당리 34",36.40831114,126.5813677,795,,,,,,1993-02-04,충청남도 보령시,041-930-4086,2025-04-01
44180-20001,동대공원,근린공원,,충청남도 보령시 동대동 1968,36.3473650191,126.6113682455,12157,풋살장1+운동기구12,조합놀이대1,파고라2+의자18+등의자6,,바닥분수1,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-20002,동대2공원,근린공원,충청남도 보령시 한내로터리길 119-20(동대동),충청남도 보령시 동대동 319-34,36.35166824,126.6133105,2513,농구대1+운동기구5,,정자1+의자12,,,1995-08-08,충청남도 보령시,041-930-4086,2025-04-01
44180-20003,대천공원,근린공원,,충청남도 보령시 대천동 387-19,36.3556861638,126.5852408,25422,운동기구14,,벤치5,,,1986-12-03,충청남도 보령시,041-930-4086,2025-04-01
44180-20004,화락산공원,근린공원,,충청남도 보령시 웅천읍 대천리 산15,36.23768697,126.5872531022,29857,,,,,,1977-03-17,충청남도 보령시,041-930-4086,2025-04-01
44180-20005,옥마공원,근린공원,충청남도 보령시 옥마벚길 15(명천동),충청남도 보령시 명천동 5-9,36.3327221,126.6239598,45859,풋살장1,,파고라2,,화장실1+주차장1,2006-10-02,충청남도 보령시,041-930-4086,2025-04-01
44180-20006,관창일반산업단지(관창지구),근린공원,,충청남도 보령시 주교면 관창리 1239,36.3746013461,126.5709115257,72008,,,,,,1993-02-04,충청남도 보령시,041-930-4086,2025-04-01
44180-20007,관창일반산업단지(관산지구),근린공원,,충청남도 보령시 주포면 관산리 291-1,36.40448729,126.5773347,17165,,,,,,1993-02-04,충청남도 보령시,041-930-4086,2025-04-01
44180-20008,영보산업단지(LNG인수기지내),근린공원,,충청남도 보령시 오천면 영보리 455-3,36.42044166,126.4937164105,56940,,,,,,2009-06-24,충청남도 보령시,041-930-4086,2025-04-01
44180-20009,웅천일반산업단지,근린공원,,충청남도 보령시 웅천읍 구룡리 산177-2,36.24315768,126.5713279,9938.7,,,,,,2011-07-15,충청남도 보령시,041-930-4086,2025-04-01
44180-20010,생활권공원 42호,근린공원,,충청남도 보령시 명천동 1382,36.3387716975,126.6047742660,20983,운동기구11,,파고라5,,,2012-10-02,충청남도 보령시,041-930-4086,2025-04-01
44180-20011,생활권공원 43호,근린공원,,충청남도 보령시 명천동 1395,36.33692788,126.6089157,15161,운동기구4,놀이시설4,파고라2,,,2012-10-02,충청남도 보령시,041-930-4086,2025-04-01
44180-30001,신설동소공원1,소공원,,충청남도 보령시 동대동 658-2,36.35421876,126.6063467,523.2,운동기구4,,파고라1+앉음벽2+의자10,,,2009-05-02,충청남도 보령시,041-930-4086,2025-04-01
