관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
44210-00001,옥녀봉공원,근린공원,충청남도 서산시 부춘공원1로 40(읍내동),충청남도 서산시 읍내동 산2-2,36.7866418,126.4515185,9320660,,,,,,1972-10-17,충청남도 서산시청,041-660-2199,2026-01-08
44210-00002,대죽공원,근린공원,,충청남도 서산시 대산읍 대죽리 18-7,37.00252287,126.4236634,910577,,,,,,1993-08-09,충청남도 서산시청,041-660-2169,2026-01-08
44210-00003,대죽제2공원,근린공원,,충청남도 서산시 대산읍 대죽리 1129,37.00166367,126.3874615,249027,,,,,,2008-01-02,충청남도 서산시청,041-660-2169,2026-01-08
44210-00004,성암공원,근린공원,충청남도 서산시 성암1로 47(읍내동),충청남도 서산시 읍내동 621-1,36.78296666,126.443701,169590,,,,,,1991-03-14,충청남도 서산시청,041-660-2199,2026-01-08
44210-00005,명륜공원,근린공원,,충청남도 서산시 읍내동 608-8,36.78375041,126.4463609,153970,,,,,,1991-03-14,충청남도 서산시청,041-660-2199,2026-01-08
44210-00006,동문공원,근린공원,,충청남도 서산시 동문동 161,36.78010625,126.468302,306450,,,,,,1995-02-20,충청남도 서산시청,041-660-2426,2026-01-08
44210-00007,중앙호수공원,근린공원,,충청남도 서산시 읍내동40,36.77600839,126.4513471,280360,,,,,,2004-08-30,충청남도 서산시청,041-660-2426,2026-01-08
44210-00008,지곡1공원,근린공원,,충청남도 서산시 지곡면 화천리 1459,36.86104278,126.4378303,163445,,,,,,2007-12-12,충청남도 서산시청,041-660-2169,2026-01-08
44210-00009,지곡2공원,근린공원,,충청남도 서산시 지곡면 화천리 1457,36.86116795,126.4392462,197802,,,,,,2007-12-12,충청남도 서산시청,041-660-2169,2026-01-08
44210-00010,성연1공원,근린공원,,충청남도 서산시 성연면 오사리 1618,36.84597512,126.4404768,105443,,,,,,2007-12-12,충청남도 서산시청,041-660-2169,2026-01-08
44210-00011,성연2공원,근린공원,,충청남도 서산시 성연면 오사리 1620,36.84481088,126.4410216,274902,,,,,,2007-12-12,충청남도 서산시청,041-660-2169,2026-01-08
44210-00012,북1공원,근린공원,,충청남도 서산시 지곡면 무장리 1797,36.8556513,126.458065,115353,,,,,,2007-12-12,충청남도 서산시청,041-660-2169,2026-01-08
44210-00013,테크노 제1호 근린공원,근린공원,충청남도 서산시 성연면 성연3로 120,충청남도 서산시 성연면 오사리 1793,36.82865018,126.4484025,370946,,,,,,2008-08-18,충청남도 서산시청,041-660-2169,2026-01-08
44210-00014,테크노 제2호 근린공원,근린공원,,충청남도 서산시 성연면 왕정리 711,36.8253192,126.4524562,921629,,,,,,2008-08-18,충청남도 서산시청,041-660-2169,2026-01-08
44210-00015,테크노 제3호 근린공원,근린공원,충청남도 서산시 성연면 성연4로 27-15,충청남도 서산시 성연면 일람리 1119,36.82239481,126.4503018,139223,,,,,,2008-08-18,충청남도 서산시청,041-660-2169,2026-01-08
44210-00016,고북제2근린공원,근린공원,,충청남도 서산시 고북면 가구리 625-28,36.66780306,126.5345433,237910,,,,,,2008-01-10,충청남도 서산시청,041-660-2169,2026-01-08
44210-00017,명지어린이공원,어린이공원,,충청남도 서산시 대산읍 대로리 279-19,36.97076719,126.4108542,16300,,,,,,1991-10-11,충청남도 서산시청,041-660-2169,2026-01-08
44210-00018,대산 제33호 어린이공원,어린이공원,,충청남도 서산시 대산읍 대산리 1498,36.9397312,126.4261882,15865,,,,,,,충청남도 서산시청,041-660-2169,2026-01-08
44210-00019,대산 제34호 어린이공원,어린이공원,,충청남도 서산시 대산읍 대산리 1735,36.93800109,126.429692,17036,,,,,,,충청남도 서산시청,041-660-2169,2026-01-08
44210-00020,서산 제2호 어린이공원,어린이공원,,충청남도 서산시 읍내동415-1,36.78659867,126.4461359,16240,,,,,,1991-03-14,충청남도 서산시청,041-660-2199,2026-01-08
44210-00021,서산 제3호 어린이공원,어린이공원,,충청남도 서산시 읍내동624-3,36.78434139,126.4448983,16700,,,,,,1991-03-14,충청남도 서산시청,041-660-2199,2026-01-08
