관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
44770-25030,용당공원,소공원,,충청남도 서천군 장항읍 원수리 927-2,36.006113,126.704992,4536,,,,,전망대(정자),1986-10-02,충청남도 서천군청,041-950-4613,2025-12-08
44770-25028,(산단)1호,어린이공원,,충청남도 서천군 장항읍 옥남리 520,36.040527,126.668613,1884,,,,,,2010-10-05,충청남도 서천군청,041-950-4613,2025-12-08
44770-25028,(산단)2호,어린이공원,,충청남도 서천군 장항읍 옥남리 산3,36.035863,126.671152,1657,,,,,,2010-10-05,충청남도 서천군청,041-950-4613,2025-12-08
44770-25321,9호공원,소공원,,충청남도 서천군 서천읍 군사리 529,36.077357,126.6933934,906,,,,,,2010-12-30,충청남도 서천군청,041-950-4613,2025-12-08
44770-39029,(종천2농단)1,소공원,,충청남도 서천군 종천면 석촌리 산31,36.11620687,126.7055322,7158,,,,,,2010-06-10,충청남도 서천군청,041-950-4613,2025-12-08
44770-41023,(김가공농단)월리공원,소공원,,충청남도 서천군 서면 월리 산28-1,36.160631,126.5598126,6336,,,,,,2009-07-21,충청남도 서천군청,041-950-4613,2025-12-08
44770-25321,군사공원(1호),기타,,충청남도 서천군 서천읍 군사리 산6,36.08031592,126.6970782,192924,,,,,,1973-08-24,충청남도 서천군청,041-950-4613,2025-12-08
44770-25025,장암공원,기타,,충청남도 서천군 장항읍 신창리 422,36.00882978,126.6803947,134444,,,,,,1986-10-02,충청남도 서천군청,041-950-4613,2025-12-08
44770-25026,배수지공원,기타,,충청남도 서천군 장항읍 화천리 산22-2,36.01766864,126.6800896,35934,,,,,,1986-10-02,충청남도 서천군청,041-950-4613,2025-12-08
44770-25027,1호공원,근린공원,,충청남도 서천군 장항읍 송림리 산65,36.01551074,126.666744,74957,,,,,,2009-07-29,충청남도 서천군청,041-950-4613,2025-12-08
44770-25028,(산단)1호,근린공원,,충청남도 서천군 장항읍 옥남리 200,36.038041,126.674809,11541,,,,,,2010-10-05,충청남도 서천군청,041-950-4613,2025-12-08
44770-25028,(산단)2호,근린공원,,충청남도 서천군 장항읍 옥남리 497,36.039632,126.6718202,11080,,,,,,2010-10-05,충청남도 서천군청,041-950-4613,2025-12-08
44770-25028,(산단)3호,근린공원,,충청남도 서천군 장항읍 옥남리 29-2,36.035841,126.6812376,26988,,,,,,2010-10-05,충청남도 서천군청,041-950-4613,2025-12-08
44770-25028,(산단)4호,근린공원,,충청남도 서천군 마서면 옥북리 738-65,36.04071124,126.6780404,32539,,,,,,2010-10-05,충청남도 서천군청,041-950-4613,2025-12-08
44770-25322,사곡공원,체육공원,,충청남도 서천군 서천읍 사곡리 산10-2,36.08871385,126.691553,175134,궁도장+게이트볼장+테니스장,조합놀이대,주차장+화장실,,전망대(정자),1992-08-29,충청남도 서천군청,041-950-4613,2025-12-08
44770-25322,3호공원(서천읍),어린이공원,,충청남도 서천군 서천읍 사곡리 306-1,36.08226961,126.6851509,1645,,조합놀이대,,,,1986-09-04,충청남도 서천군청,041-950-4613,2025-12-08
44770-25321,5호공원(서천읍),어린이공원,,충청남도 서천군 서천읍 군사리 623-2,36.07498779,126.6919439,6878,,,,,,1986-09-04,충청남도 서천군청,041-950-4613,2025-12-08
44770-25321,8호공원(서천읍),어린이공원,,충청남도 서천군 서천읍 군사리 858-1,36.07612615,126.6878213,2500,,조합놀이대+그네,,,,1997-09-09,충청남도 서천군청,041-950-4613,2025-12-08
44770-25321,구 역전공원,어린이공원,충청남도 서천군 서천읍 서문로 58-1,충청남도 서천군 서천읍 군사리 226-1,36.07925754,126.7017266,8415,,,,,,2019-08-27,충청남도 서천군청,041-950-4613,2025-12-08
44770-25321,(신청사)어린이공원 2,어린이공원,,충청남도 서천군 서천읍 군사리 60-5,36.07565399,126.7029558,1692,,,,,,2019-08-27,충청남도 서천군청,041-950-4613,2025-12-08
44770-25030,장항 연안공원,소공원,,충청남도 서천군 장항읍 원수리 303-3,36.00584594,126.7073617,1981,,,,,,2019-08-22,충청남도 서천군청,041-950-4613,2025-12-08
44770-25321,(신청사) 소공원,소공원,,충청남도 서천군 서천읍 군사리 51-8,36.0747183,126.7008813,5189,,,,,,2019-08-27,충청남도 서천군청,041-950-4613,2025-12-08
