관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
44810-00001,예산1(중앙공원),근린공원,,충청남도 예산군 예산읍 예산리 산13-1,36.68327393,126.8420678,202568,운동기구 등,,정자 및 벤치 등,,,1969-02-03,충청남도 예산군청,041-339-7633,2026-01-07
44810-00003,예산4(예산공원),근린공원,,충청남도 예산군 예산읍 산성리 122,36.6872539,126.8380071,29967,,,정자 및 벤치 등,,,1985-12-27,충청남도 예산군청,041-339-7633,2026-01-07
44810-00004,예산12(삽티공원),근린공원,,충청남도 예산군 예산읍 향천리 산 66-2,36.67813077,126.8580339,69591,,조합놀이대,정자 및 벤치 등,,,1997-04-23,충청남도 예산군청,041-339-7633,2026-01-07
44810-00005,예산13(대회공원),근린공원,,충청남도 예산군 예산읍 대회리 294-4,36.67416554,126.8561493,1525,운동기구 등,,파고라 및 벤치 등,,,1998-04-23,충청남도 예산군청,041-339-7633,2026-01-07
44810-00006,삽교9(9호근린공원),근린공원,,충청남도 예산군 삽교읍 신가리 266-46,36.68546479,126.7382239,23176,운동기구 등,,파고라 및 벤치 등,야외무대,,2009-10-30,충청남도 예산군청,041-339-7633,2026-01-07
44810-00008,내포1(수암천공원),근린공원,,충청남도 예산군 삽교읍 목리 687-31,36.66854081,126.6678232,24207,,,,,,2009-03-20,충청남도 예산군청,041-339-7633,2026-01-07
44810-00009,내포2(목리천공원),근린공원,,충청남도 예산군 삽교읍 목리 923,36.66128683,126.6735692,106216.8,,,,,,2009-03-20,충청남도 예산군청,041-339-7633,2026-01-07
44810-00010,예당1(근린공원),근린공원,,충청남도 예산군 고덕면 오추리 816,36.76478307,126.7222481,44132.2,다목적구장 등,조합놀이대,정자 및 벤치 등,,,2010-06-14,충청남도 예산군청,041-339-7633,2026-01-07
44810-00012,예산5(5호어린이공원),어린이공원,,충청남도 예산군 예산읍 산성리 858,36.69091708,126.8326322,1500,,조합놀이대,파고라 및 벤치 등,,,1985-12-27,충청남도 예산군청,041-339-7633,2026-01-07
44810-00014,예산7(상록공원),어린이공원,,충청남도 예산군 예산읍 신례원리 262-48,36.72500861,126.8404102,1320,운동기구 등,,정자 및 벤치 등,,,1985-12-27,충청남도 예산군청,041-339-7633,2026-01-07
44810-00019,삽교13(13호어린이공원),어린이공원,,충청남도 예산군 삽교읍 효림리 535,36.67170401,126.7514443,7173,,,,,,2009-11-30,충청남도 예산군청,041-339-7633,2026-01-07
44810-00023,내포4(쇠똥구리공원),어린이공원,,충청남도 예산군 삽교읍 목리 산 75-13,36.66566492,126.6716835,6995,,,,,,2009-03-20,충청남도 예산군청,041-339-7633,2026-01-07
44810-00024,내포5(소금쟁이공원),어린이공원,,충청남도 예산군 삽교읍 목리 880,36.66621793,126.6777794,2500,,조합놀이대,파고라 및 벤치 등,,,2009-03-20,충청남도 예산군청,041-339-7633,2026-01-07
44810-00025,내포6(풍뎅이숲공원),어린이공원,,충청남도 예산군 삽교읍 목리 838,36.66640993,126.6814927,7382.2,,,,,,2009-03-20,충청남도 예산군청,041-339-7633,2026-01-07
44810-00026,내포7(하늘놀이공원),어린이공원,,충청남도 예산군 삽교읍 목리 1276,36.66846437,126.685394,4663.5,,조합놀이대,파고라 및 벤치 등,,,2009-03-20,충청남도 예산군청,041-339-7633,2026-01-07
44810-00027,내포8(거미줄놀이공원),어린이공원,충청남도 예산군 삽교읍 예목로 171,,36.67224455,126.6850185,1841,,,,,,2009-03-20,충청남도 예산군청,041-339-7633,2026-01-07
44810-00028,내포9(숲속하늘소공원),어린이공원,,충청남도 예산군 삽교읍 목리 1808,36.66910085,126.687341,3742.2,,,,,,2009-03-20,충청남도 예산군청,041-339-7633,2026-01-07
44810-00029,내포11(사슴벌레공원),어린이공원,,충청남도 예산군 삽교읍 목리 1933,36.66753876,126.6881518,2432.6,,,,,,2009-03-20,충청남도 예산군청,041-339-7633,2026-01-07
44810-00030,내포12(개미공원),어린이공원,,충청남도 예산군 삽교읍 목리 1067,36.66325506,126.6826389,1712,,조합놀이대,파고라 및 벤치 등,,,2009-03-20,충청남도 예산군청,041-339-7633,2026-01-07
44810-00031,내포13(나비공원),어린이공원,,충청남도 예산군 삽교읍 목리 1140,36.66340573,126.6844092,1553.3,,조합놀이대,파고라 및 벤치 등,,,2009-03-20,충청남도 예산군청,041-339-7633,2026-01-07
44810-00032,예산10(10호소공원),소공원,,충청남도 예산군 예산읍 산성리 697-1,36.69179804,126.8295134,808,족구장,,,,,1991-06-15,충청남도 예산군청,041-339-7633,2026-01-07
44810-00033,예산17(17호소공원),소공원,,충청남도 예산군 예산읍 예산리 770,36.68273504,126.845831,1731.3,운동기구 등,,벤치 등,,,2009-02-10,충청남도 예산군청,041-339-7633,2026-01-07
44810-00034,예산18(18호소공원),소공원,,충청남도 예산군 예산읍 예산리 802,36.67939916,126.8431825,1083.5,,,,,,2009-02-10,충청남도 예산군청,041-339-7633,2026-01-07
44810-00035,예산19(19호소공원),소공원,,충청남도 예산군 예산읍 예산리 803,36.67880106,126.8430324,1207.6,,,,,,2009-02-10,충청남도 예산군청,041-339-7633,2026-01-07
44810-00036,예산21(21호소공원),소공원,,충청남도 예산군 예산읍 예산리 777,36.68088045,126.8448499,4076,,,,,,2013-10-10,충청남도 예산군청,041-339-7633,2026-01-07
44810-00037,예산22(22호소공원),소공원,,충청남도 예산군 예산읍 예산리 772,36.68191856,126.8462763,2654.3,,,파고라 및 벤치 등,,,2013-10-10,충청남도 예산군청,041-339-7633,2026-01-07
44810-00038,삽교7(7호소공원),소공원,,충청남도 예산군 삽교읍 신가리 24-148,36.68439235,126.7446157,154,,,,,,2007-10-10,충청남도 예산군청,041-339-7633,2026-01-07
44810-00039,삽교10(10호소공원),소공원,,충청남도 예산군 삽교읍 신가리 20-24,36.68530932,126.7493378,3184,,,,,,2009-10-30,충청남도 예산군청,041-339-7633,2026-01-07
44810-00040,삽교11(11호소공원),소공원,,충청남도 예산군 삽교읍 효림리 560,36.67462713,126.7508166,3916,운동기구 등,,파고라 및 벤치 등,,,2009-11-30,충청남도 예산군청,041-339-7633,2026-01-07
44810-00041,삽교12(12호소공원),소공원,,충청남도 예산군 응봉면 주령리 410,36.67064392,126.7595314,3814,,,,,,2009-11-30,충청남도 예산군청,041-339-7633,2026-01-07
44810-00042,삽교14(14호소공원),소공원,,충청남도 예산군 삽교읍 신가리 1-3,36.67947821,126.7509943,12074,,,,,,2009-11-30,충청남도 예산군청,041-339-7633,2026-01-07
44810-00043,삽교15(15호소공원),소공원,,충청남도 예산군 삽교읍 효림리 540,36.67043518,126.751208,2499,,,,,,2009-11-30,충청남도 예산군청,041-339-7633,2026-01-07
44810-00044,덕산4(4호소공원),소공원,,충청남도 예산군 덕산면 신평리 175-8,36.69376606,126.663061,377,,,,,,2011-08-01,충청남도 예산군청,041-339-7633,2026-01-07
44810-00045,덕산5(5호소공원),소공원,,충청남도 예산군 덕산면 신평리 179-1,36.69356342,126.663387,510,,,,,,2011-08-01,충청남도 예산군청,041-339-7633,2026-01-07
44810-00046,내포1(두레1소공원),소공원,,충청남도 예산군 삽교읍 목리 1007,36.66292078,126.6814975,968,,,벤치,,,2009-03-20,충청남도 예산군청,041-339-7633,2026-01-07
44810-00047,내포2(두레3소공원),소공원,,충청남도 예산군 삽교읍 목리 1243,36.66032238,126.6854692,1415,,,벤치,,,2009-03-20,충청남도 예산군청,041-339-7633,2026-01-07
44810-00048,예당2(2호소공원),소공원,,충청남도 예산군 고덕면 지곡리 438,36.76004967,126.724315,9282.8,운동기구 등,,파고라 및 벤치 등,,,2010-06-14,충청남도 예산군청,041-339-7633,2026-01-07
