관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
44131-00043,용곡공원(용곡4),어린이공원,,충청남도 천안시 동남구 용곡동 597,36.78741709,127.1355518,2300,,조합놀이대,,,,1993-02-18,충청남도 천안시청,041-521-2772,2024-06-09
44131-00044,눈들공원(용곡1),어린이공원,,충청남도 천안시 동남구 용곡동 601,36.79261113,127.1392161,1500,,조합놀이대+흔들놀이,,,,1987-06-12,충청남도 천안시청,041-521-2772,2024-06-09
44131-00045,원성소공원,소공원,,충청남도 천안시 동남구 원성동 214-3,36.81341463,127.159059,566,,,,,,2007-04-20,충청남도 천안시청,041-521-2772,2024-06-09
44131-00046,원성공원(원성2),어린이공원,,충청남도 천안시 동남구 원성동 482-6,36.80788022,127.1636754,1967.3,농구장,조합놀이대,화장실,,,1987-06-12,충청남도 천안시청,041-521-2772,2024-06-09
44131-00047,꽃재공원(원성4),어린이공원,,충청남도 천안시 동남구 원성동 573-1,36.80085077,127.1616121,1830.1,,조합놀이대,,,,1987-06-12,충청남도 천안시청,041-521-2772,2024-06-09
44131-00048,화령공원(원성3),어린이공원,,충청남도 천안시 동남구 원성동 631,36.80298234,127.1620753,1982.8,농구장,조합놀이대,,,,1987-06-12,충청남도 천안시청,041-521-2772,2024-06-09
44131-00049,청당2공원,어린이공원,,충청남도 천안시 동남구 청당동 120-8,36.77805306,127.153995,1497,족구장,조합놀이대,,,,1993-02-18,충청남도 천안시청,041-521-2772,2024-06-09
44131-00050,청당1공원,어린이공원,,충청남도 천안시 동남구 청당동 142-9,36.78023537,127.1554992,2247.1,농구장,조합놀이대,,,,1993-02-18,충청남도 천안시청,041-521-2772,2024-06-09
44131-00051,청당4공원,어린이공원,,충청남도 천안시 동남구 청당동 437,36.78001608,127.1424508,1580,,조합놀이대+흔들놀이,,,,2001-01-02,충청남도 천안시청,041-521-2772,2024-06-09
44131-00052,청당1공원,근린공원,,충청남도 천안시 동남구 청당동 474,36.7865994936,127.1535373093,81604.8,,,주차장,,,2005-11-30,충청남도 천안시청,041-521-2770,2024-06-09
44131-00053,청당2공원,근린공원,,충청남도 천안시 동남구 청당동 546,36.7833326,127.1578937,62027.3,"테니스장,다목적구장,배드민턴장,농구장",,화장실+주차장,,,2005-11-30,충청남도 천안시청,041-521-2770,2024-06-09
44131-00054,청당3공원,근린공원,,충청남도 천안시 동남구 청당동 602,36.78902577,127.157086,13969.4,배드민턴장,,,,,2005-11-30,충청남도 천안시청,041-521-2770,2024-06-09
44131-00055,청당4공원,근린공원,,충청남도 천안시 동남구 청당동 608,36.79017695,127.1599074,12383.4,,,,,,2005-11-30,충청남도 천안시청,041-521-2770,2024-06-09
44131-00056,청당골공원(청당5),어린이공원,,충청남도 천안시 동남구 청당동 651,36.7854313,127.1600478,1830,,조합놀이대+그네,,,,2005-11-30,충청남도 천안시청,041-521-2772,2024-06-09
44131-00057,청당6공원,어린이공원,,충청남도 천안시 동남구 청당동 776,36.7833179,127.1606646,1624,,조합놀이대+그네,,,,2005-11-30,충청남도 천안시청,041-521-2772,2024-06-09
44131-00058,뒷들공원(청당7),어린이공원,,충청남도 천안시 동남구 청당동 870,36.78240981,127.1622429,1500,,조합놀이대+흔들놀이,,,,2007-11-15,충청남도 천안시청,041-521-2772,2024-06-09
44131-00059,구성2공원,어린이공원,,충청남도 천안시 동남구 청수동 264,36.7898576,127.155911,1886,배드민턴장,조합놀이대,,,,1997-04-24,충청남도 천안시청,041-521-2772,2024-06-09
44131-00060,청수2공원,근린공원,,충청남도 천안시 동남구 청수동 270,36.78771751,127.1495476,53592.4,풋살장,,화장실+주차장,야외무대,,2005-11-30,충청남도 천안시청,041-521-2770,2024-06-09
44131-00061,청수1공원,어린이공원,,충청남도 천안시 동남구 청수동 330,36.78844866,127.1534604,1502,,조합놀이대+미끄럼틀,,,,2005-11-30,충청남도 천안시청,041-521-2772,2024-06-09
44131-00062,2호공원,근린공원,,충청남도 천안시 동남구 풍세면 보성리 731,36.72473183,127.1027875,10000.4,배드민턴장,조합놀이대,,,,2009-01-20,충청남도 천안시청,041-521-2770,2024-06-09
44131-00063,솔모랭이공원(6호),소공원,,충청남도 천안시 동남구 풍세면 용정리 989,36.73332384,127.1005473,1773.9,,,,,,2012-01-12,충청남도 천안시청,041-521-2772,2024-06-09
44131-00064,태조산공원,근린공원,,충청남도 천안시 동남구 유량동 산1-1,36.82207666,127.1889559,536641,,,화장실,,,2009-01-20,충청남도 천안도시공사,041-521-2770,2024-06-09
44133-00065,행복공원,어린이공원,,충청남도 천안시 서북구 두정동 1205,36.83617615,127.1402341,7930,다목적구장,,,,,1993-02-18,충청남도 천안시청,041-521-2773,2024-06-09
44133-00066,부대2공원,어린이공원,,충청남도 천안시 서북구 두정동 1560,36.8374277,127.1447366,1500,,,,,,1994-12-07,충청남도 천안시청,041-521-2773,2024-06-09
44133-00067,산새공원(부대1),어린이공원,,충청남도 천안시 서북구 두정동 1696,36.83718258,127.1493473,1509,,,,,,1994-12-07,충청남도 천안시청,041-521-2773,2024-06-09
44133-00068,정담은공원(두정1),어린이공원,,충청남도 천안시 서북구 두정동 2038,36.83315568,127.1496841,1580,,,,,,1993-02-18,충청남도 천안시청,041-521-2773,2024-06-09
44133-00069,두정8공원,어린이공원,,충청남도 천안시 서북구 두정동 2046,36.83127472,127.1499307,1619,족구장,,,,,1993-02-18,충청남도 천안시청,041-521-2773,2024-06-09
44133-00001,두정공원,근린공원,,"충청남도 천안시 서북구 두정동 397-1, 396-1",36.83481083,127.1541727,11260,농구장,,,야외무대,,1993-02-18,충청남도 천안시청,041-521-2836,2024-06-09
44133-00002,말우물공원(백석4),어린이공원,,충청남도 천안시 서북구 두정동 615,36.82630777,127.1286182,5260,,조합놀이대,,,,2008-12-01,충청남도 천안시청,041-521-2773,2024-06-09
44133-00003,두정오성공원(두정6),어린이공원,,충청남도 천안시 서북구 두정동 681,36.83263767,127.1303627,5810,농구장,,,,,1994-12-07,충청남도 천안시청,041-521-2773,2024-06-09
44133-00004,원두정먹거리공원(두정5),어린이공원,,충청남도 천안시 서북구 두정동869,36.83177162,127.1364262,7250,배드민턴장,조합놀이대,,,,1994-12-07,충청남도 천안시청,041-521-2773,2024-06-09
