관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
44790-00001,제1어린이공원,어린이공원,,충청남도 청양군 청양읍 읍내리 216-13,36.45273244,126.8015043,1619,,그네1+물놀이용놀이기구(조합놀이대형)1+물이용놀이기구(기타+단품)3+조합놀이대1+정글짐2+충격흡수용표면재(포설도포바닥재1),,,,1987-03-02,충청남도 청양군청,041-940-2382,2025-11-26
44790-00002,제2어린이공원,어린이공원,,충청남도 청양군 청양읍 읍내리 184-11,36.44911804,126.800216,1541,,그네1개+정글짐1개+오르는기구 1개+조합놀이대1개,,,,1987-03-02,충청남도 청양군청,041-940-2382,2025-11-26
44790-00003,제3어린이공원,어린이공원,,충청남도 청양군 청양읍 읍내리 167-89,36.449281,126.8044217,1192,,정글짐1개+흔들놀이기구2개+조합놀이대1개,,,,1987-03-02,충청남도 청양군청,041-940-2382,2025-11-26
44790-00004,제4어린이공원,어린이공원,,충청남도 청양군 청양읍 교월리 203-1,36.44774144,126.8083312,4260,,,,,,1987-03-02,충청남도 청양군청,041-940-2382,2025-11-26
44790-00007,지천생태공원,근린공원,,충청남도 청양군 청양읍 교월리 59,36.45349758,126.811661,14110,,,,,,2009-09-17,충청남도 청양군청,041-940-2382,2025-11-26
44790-00008,벽천1공원,소공원,,충청남도 청양군 청양읍 벽천리 766,36.437889,126.797178,2240,,,,,,2001-06-25,충청남도 청양군청,041-940-2382,2025-11-26
44790-00009,벽천2공원,소공원,,충청남도 청양군 청양읍 벽천리 767,36.43750711,126.797310,559,,,,,,2001-06-25,충청남도 청양군청,041-940-2382,2025-11-26
44790-00010,읍내1공원,소공원,,충청남도 청양군 청양읍 읍내리 388-7,36.44532035,126.798984,1350,,,정자1개소+운동시설 3개소,,,2012-12-10,충청남도 청양군청,041-940-2382,2025-11-26
44790-00011,읍내2공원,소공원,,충청남도 청양군 청양읍 읍내리 380-1,36.44480767,126.8004332,2210,,,,,,2012-12-10,충청남도 청양군청,041-940-2382,2025-11-26
44790-00012,정산 어린이공원,어린이공원,,충청남도 청양군 정산면 서정리 101-5,36.4130777,126.9479927,550,,그네1+흔들놀이기구2+조합놀이대1+충격흡수용표면재(포설도포바닥재1),,,,2018-08-31,충청남도 청양군청,041-940-2382,2025-11-26
44790-00013,제3소공원,소공원,,충청남도 청양군 청양읍 읍내리 15-10,36.4536083,126.8079633,696,,,,,,2018-08-31,충청남도 청양군청,041-940-2382,2025-11-26
