관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
44800-00001,갈산공원(갈산근린1호),근린공원,,충청남도 홍성군 갈산면 상촌리 산12-1,36.60996173,126.5480776,15278,,,,,,1977-03-17,충청남도 홍성군,041-630-1269,2025-06-30
44800-00002,숲자락근린공원,근린공원,,충청남도 홍성군 홍성읍 남장리 601,36.58650804,126.669452,20371,,,,,,2012-11-06,충청남도 홍성군,041-630-1269,2025-06-30
44800-00003,석당공원(결성근린1호),근린공원,,충청남도 홍성군 결성면 읍내리 319-1,36.523292,126.545695,122461,,,,,,1977-03-17,충청남도 홍성군,041-630-1269,2025-06-30
44800-00004,역재방죽공원(홍성근린8호),근린공원,,충청남도 홍성군 홍성읍 고암리 664-2,36.592255,126.676184,66437,,,주차장,문화원,,1996-01-05,충청남도 홍성군,041-630-1269,2025-06-30
44800-00005,염산공원(광천근린1호),근린공원,,충청남도 홍성군 광천읍 소암리 산34,36.5106231,126.6386421,21682,,,,,,1977-02-17,충청남도 홍성군,041-630-1269,2025-06-30
44800-00006,옹암공원(광천근린2호),근린공원,,충청남도 홍성군 광천읍 옹암리 산8-1,36.49504297,126.6283553,45305,,,,,,1977-02-17,충청남도 홍성군,041-630-1269,2025-06-30
44800-00007,월산근린공원,근린공원,,충청남도 홍성군 홍성읍 월산리 849,36.60169908,126.648049,10182,농구장,조합놀이대,화장실,,,2000-06-17,충청남도 홍성군,041-630-1269,2025-06-30
44800-00008,홍성산단 1호근린공원,근린공원,,충청남도 홍성군 갈산면 취생리 산133-2,36.628613,126.534556,88483,,,,,,2009-01-28,충청남도 홍성군,041-630-1269,2025-06-30
44800-00009,노변공원,근린공원,,충청남도 홍성군 홍성읍 대교리 410-2,36.6043428,126.6638341,15667,,,주차장+ 화장실,,,1985-07-30,충청남도 홍성군,041-630-1269,2025-06-30
44800-00010,홍주공원(홍성근린6호),근린공원,,충청남도 홍성군 홍성읍 오관리 98,36.601719,126.661389,78000,,,주차장+ 화장실,역사관,,1985-07-30,충청남도 홍성군,041-630-1269,2025-06-30
44800-00011,속동해안공원,근린공원,,충청남도 홍성군 서부면 상황리 629-13,36.57237392,126.4659197,17638,,,,,,2020-06-30,충청남도 홍성군,041-630-1269,2025-06-30
44800-00012,내포시민1공원(홍북근린1호),근린공원,,충청남도 홍성군 홍북읍 신경리 545,36.660663,126.678872,10035,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00013,내포시민2공원(홍북근린2호),근린공원,,충청남도 홍성군 홍북읍 신경리 547,36.66101698,126.680346,10035,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00014,산학1공원(홍북근린11호),근린공원,,충청남도 홍성군 홍북읍 신경리 198-110일원,36.637261,126.676472,13341.3,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00015,산학2공원(홍북근린14호),근린공원,,충청남도 홍성군 홍북읍 신경리 198-3일원,36.635625,126.677661,10208.1,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00016,산학3공원(홍북근린12호),근린공원,,충청남도 홍성군 홍북읍 신경리 198-142일원,36.636937,126.669078,10366.4,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00017,신리천공원(홍북근린3호),근린공원,,충청남도 홍성군 홍북읍 신경리 934,36.653942,126.681202,107967,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00018,신리천공원(홍북근린5호),근린공원,,충청남도 홍성군 홍북읍 신경리 1172,36.64942104,126.6734093,41109,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00019,자경천1공원(홍북근린6호),근린공원,,충청남도 홍성군 홍북읍 신경리 1201,36.647994,126.675595,17990,배드민턴장,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00020,자경천2공원(홍북근린7호),근린공원,,충청남도 홍성군 홍북읍 신경리 1375,36.641983,126.682822,26358,,조합놀이대,화장실,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00021,하산공원(홍북근린9호),근린공원,,충청남도 홍성군 홍북읍 상하리 산15-1,36.641322,126.666229,129340,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00022,한울공원(홍북근린4호),근린공원,,충청남도 홍성군 홍북읍 신경리 1203,36.648897,126.679875,10356,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00023,고암어린이공원,어린이공원,,충청남도 홍성군 홍성읍 고암리 981,36.60081432,126.6745874,1700,,조합놀이대,화장실,,,1996-01-05,충청남도 홍성군,041-630-1269,2025-06-30
44800-00024,남문공원,어린이공원,,충청남도 홍성군 홍성읍 옥암리 963,36.59653757,126.6548113,2200,,조합놀이대,화장실,,,1985-07-30,충청남도 홍성군,041-630-1269,2025-06-30
44800-00025,남장어린이공원,어린이공원,,충청남도 홍성군 홍성읍 남장리 111-9,36.591829,126.665057,3406,,,,,,1996-01-05,충청남도 홍성군,041-630-1269,2025-06-30
44800-00026,광천4호 어린이공원,어린이공원,,충청남도 홍성군 광천읍 소암리 349-1,36.50098914,126.6364595,8875,,,,,,2018-02-28,충청남도 홍성군,041-630-1269,2025-06-30
44800-00027,월산어린이공원,어린이공원,,충청남도 홍성군 홍성읍 월산리 858-5,36.60030556,126.6513217,1503,,조합놀이대,,,,2003-03-20,충청남도 홍성군,041-630-1269,2025-06-30
44800-00028,남장골어린이공원,어린이공원,,충청남도 홍성군 홍성읍 남장리 528,36.587287,126.664107,2099,,조합놀이대,화장실,,,2012-11-06,충청남도 홍성군,041-630-1269,2025-06-30
44800-00029,숲자락어린이공원,어린이공원,,충청남도 홍성군 홍성읍 남장리 599,36.586978,126.668698,1727,,조합놀이대,,,,2012-11-06,충청남도 홍성군,041-630-1269,2025-06-30
44800-00030,대교제2공원,어린이공원,,충청남도 홍성군 홍성읍 대교리 540,36.60331803,126.6704498,1700,,조합놀이대,화장실,,,1995-02-06,충청남도 홍성군,041-630-1269,2025-06-30
44800-00031,옥암 1호어린이공원,어린이공원,,충청남도 홍성군 홍성읍 옥암리 1177,36.590757,126.646564,1586,,조합놀이대,,,,2007-01-13,충청남도 홍성군,041-630-1269,2025-06-30
44800-00032,옥암 2호어린이공원,어린이공원,,충청남도 홍성군 홍성읍 옥암리 1255,36.593095,126.6523459,1612,,조합놀이대,,,,2007-01-13,충청남도 홍성군,041-630-1269,2025-06-30
44800-00033,옥암어린이공원,어린이공원,,충청남도 홍성군 홍성읍 옥암리 1073,36.59523073,126.657157,2700,,조합놀이대,화장실,,,1999-03-13,충청남도 홍성군,041-630-1269,2025-06-30
44800-00034,웅덩이공원(홍북3호),어린이공원,,충청남도 홍성군 홍북읍 신경리 948,36.65120033,126.684213,3916,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00035,지형놀이공원(홍북10호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1371,36.645698,126.676651,6945,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00036,구리구리숲공원(홍북1호),어린이공원,,충청남도 홍성군 홍북읍 신경리 720,36.659104,126.684758,5209,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00037,기차바람길공원(홍북6호),어린이공원,,충청남도 홍성군 홍북읍 신경리 975,36.647746,126.6845998,5277,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00038,나뭇잎공원(홍북7호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1069,36.645487,126.685671,1593,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00039,모래언덕공원(홍북11호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1429,36.63999846,126.683957,1845,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00040,물빛공원(홍북9호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1334,36.641115,126.686243,1840,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00041,방울숲공원(홍북2호),어린이공원,,충청남도 홍성군 홍북읍 신경리 803,36.65942234,126.685398,1704,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00042,숲속마을놀이터공원(홍북5호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1128,36.648595,126.686977,3160,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00043,숲소리놀이터공원(홍북8호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1278,36.642798,126.685816,2076,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00044,숲속소리공원(홍북4호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1074,36.650199,126.686744,1756,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00045,숲속의성공원(홍북12호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1503,36.639444,126.685271,1976,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00046,웅덩이공원(홍북3호),어린이공원,,충청남도 홍성군 홍북읍 신경리 948,36.65120033,126.684213,3916,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00047,지형놀이공원(홍북10호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1371,36.645698,126.676651,6945,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00048,광천생활체육공원(광천1호),체육공원,,충청남도 홍성군 광천읍 광천리 32-4,36.50626006,126.6350386,87005,축구장+ 국궁장+ 테니스장+ 족구장+ 농구장,,주차장+ 화장실,,,2000-06-17,충청남도 홍성군,041-630-1269,2025-06-30
44800-00049,신리체육공원(홍성1),체육공원,,충청남도 홍성군 홍북읍 신경리 1557,36.648246,126.666316,48487.1,야구장+ 풋살장+ 테니스장,,주차장+ 화장실,,,2009-03-20,충청남도 홍성군,041-630-9593,2025-06-30
44800-00050,나루공원(홍성2),체육공원,,충청남도 홍성군 홍북읍 신경리 198-115일원,36.641796,126.673125,25562,축구장+ 육상트랙,,주차장,,,2020-09-29,충청남도 홍성군,041-630-9593,2025-06-30
44800-00051,광천 5호 소공원,소공원,,충청남도 홍성군 광천읍 옹암리 475,36.48769961,126.617557,1052,,,,,,2016-02-29,충청남도 홍성군,041-630-1269,2025-06-30
44800-00052,남당리 5호소공원(남당유통형),소공원,,충청남도 홍성군 서부면 남당리 859-3,36.538895,126.472284,1618,,,,,,2005-02-11,충청남도 홍성군,041-630-1269,2025-06-30
44800-00053,남당리 4호소공원(남당취락),소공원,,충청남도 홍성군 서부면 남당리 509-14,36.54056694,126.471532,630,,,,,,2008-10-20,충청남도 홍성군,041-630-1269,2025-06-30
44800-00054,고암 2호 소공원,소공원,,충청남도 홍성군 홍성읍 고암리 1137,36.591093,126.6701356,2183,,,,,,2016-02-25,충청남도 홍성군,041-630-1269,2025-06-30
44800-00055,옥암 1호소공원,소공원,,충청남도 홍성군 홍성읍 옥암리 1377,36.593314,126.651349,1142,,,,,,2007-01-13,충청남도 홍성군,041-630-1269,2025-06-30
44800-00056,홍성산단 1호소공원,소공원,,충청남도 홍성군 갈산면 취생리 645,36.627802,126.532262,1806,,,,,,2010-06-24,충청남도 홍성군,041-630-1269,2025-06-30
44800-00057,홍성읍 24호소공원(오관지구),소공원,,충청남도 홍성군 홍성읍 오관리 470-1,36.597376,126.6639724,901,,,,,,2011-06-13,충청남도 홍성군,041-630-1269,2025-06-30
44800-00058,25호 소공원,소공원,,충청남도 홍성군 홍성읍 오관리 806-1,36.60445188,126.6591555,1210,,,,,,2018-02-28,충청남도 홍성군,041-630-1269,2025-06-30
