민원ID,시군,주소,위도,경도,접수일자,민원유형,처리상태,내용
DEMO-2025-001,천안시,충청남도 천안시 동남구 사직동,36.815,127.114,2025-09-10,가지치기,처리완료,가로수 가지가 보행로를 가려 통행 위험 신고
DEMO-2025-002,천안시,충청남도 천안시 동남구 사직동,36.815,127.114,2025-10-05,가지치기,접수,사직동 가로수 추가 정리 요청 (반복 민원)
DEMO-2025-003,천안시,충청남도 천안시 동남구 사직동,36.815,127.114,2025-10-12,위험목,접수,같은 구역 노거수 안전점검 재요청
DEMO-2025-004,천안시,충청남도 천안시 동남구 사직동,36.815,127.114,2025-11-02,낙엽,처리중,사직동 가로수 낙엽 처리 요청
DEMO-2025-005,천안시,충청남도 천안시 서북구 성정동,36.832,127.150,2025-08-22,낙과,처리완료,은행나무 낙과로 미끄럼 위험
DEMO-2025-006,천안시,충청남도 천안시 동남구 광덕면 광덕리,36.703,127.130,2025-07-14,위험목,처리완료,오래된 노거수 가지 떨어짐 위험
DEMO-2025-007,당진시,충청남도 당진시 송악읍 부곡리,36.892,126.629,2025-08-30,가지치기,처리완료,가로수 가지 정리 요청
DEMO-2025-008,당진시,충청남도 당진시 송악읍 부곡리,36.892,126.629,2025-09-15,위험목,처리중,같은 가로수 안전 재점검 요청
DEMO-2025-009,당진시,충청남도 당진시 송악읍 부곡리,36.892,126.629,2025-10-20,낙과,접수,은행나무 낙과 민원
DEMO-2025-010,당진시,충청남도 당진시 면천면 성상리,36.880,126.700,2025-06-15,병해충,처리완료,벚나무 흰가루병 발생 신고
DEMO-2025-011,당진시,충청남도 당진시 신평면,36.880,126.620,2025-09-25,위험목,접수,산림 인접 노거수 도복 우려
DEMO-2025-012,당진시,충청남도 당진시 송산면 동곡리,36.897,126.647,2025-09-30,낙과,접수,어린이공원 인근 낙과 민원
DEMO-2025-013,아산시,충청남도 아산시 염치읍 곡교천변,36.789,127.012,2025-09-15,가지치기,처리중,곡교천 은행나무 가지 정리
DEMO-2025-014,아산시,충청남도 아산시 염치읍 곡교천변,36.789,127.012,2025-10-02,낙과,접수,곡교천 은행나무 낙과로 보행 위험
DEMO-2025-015,아산시,충청남도 아산시 염치읍 곡교천변,36.789,127.012,2025-10-25,병해충,처리중,곡교천 은행나무 잎마름 의심
DEMO-2025-016,아산시,충청남도 아산시 신정호변,36.760,127.012,2025-08-22,가지치기,처리완료,신정호 둘레길 벚나무 가지 정리
DEMO-2025-017,아산시,충청남도 아산시 송악면 외암리,36.745,127.020,2025-09-10,위험목,처리완료,외암민속마을 보호수 안전점검
DEMO-2025-018,아산시,충청남도 아산시 온양1동,36.785,127.005,2025-08-08,위험목,처리완료,온양천변 가로수 안전점검
DEMO-2025-019,공주시,충청남도 공주시 금성동,36.466,127.124,2025-07-20,위험목,처리완료,공산성 인근 노거수 안전점검 요청
DEMO-2025-020,공주시,충청남도 공주시 금성동,36.466,127.124,2025-09-08,병해충,처리중,공산성 소나무 재선충 의심
DEMO-2025-021,공주시,충청남도 공주시 사곡면 운암리,36.448,127.054,2025-08-10,가지치기,처리중,가로수 가지 정리
DEMO-2025-022,서산시,충청남도 서산시 예천동,36.785,126.452,2025-09-05,낙엽,처리완료,중앙호수공원 낙엽 처리 요청
DEMO-2025-023,서산시,충청남도 서산시 동문1동,36.781,126.448,2025-07-18,낙과,처리완료,플라타너스 꽃가루 알러지 민원
DEMO-2025-024,서산시,충청남도 서산시 해미면 읍내리,36.694,126.557,2025-09-20,가지치기,접수,해미읍성 인근 가로수 정리 요청
DEMO-2025-025,논산시,충청남도 논산시 화지동,36.187,127.099,2025-09-12,가지치기,처리완료,논산천 벚꽃길 가지 정리
DEMO-2025-026,논산시,충청남도 논산시 취암동,36.198,127.099,2025-08-22,병해충,처리완료,왕벚나무 사철혹병 신고
DEMO-2025-027,논산시,충청남도 논산시 부적면 탑정리,36.181,127.155,2025-10-08,낙엽,접수,탑정호 둘레길 낙엽 처리
DEMO-2025-028,보령시,충청남도 보령시 신흑동 대천해수욕장,36.317,126.521,2025-08-15,위험목,처리중,송림 노거수 도복 우려
DEMO-2025-029,보령시,충청남도 보령시 신흑동 대천해수욕장,36.317,126.521,2025-10-12,병해충,접수,송림 소나무 재선충 의심
DEMO-2025-030,보령시,충청남도 보령시 동대동,36.333,126.612,2025-07-08,가지치기,처리완료,시청 인근 가로수 정리
DEMO-2025-031,예산군,충청남도 예산군 응봉면 예당저수지,36.673,126.844,2025-09-03,낙엽,처리완료,예당호 둘레길 낙엽 처리
DEMO-2025-032,예산군,충청남도 예산군 응봉면 예당저수지,36.673,126.844,2025-11-05,위험목,접수,예당호 인근 노거수 안전점검
DEMO-2025-033,예산군,충청남도 예산군 예산읍 예산리,36.683,126.844,2025-08-29,위험목,접수,오래된 가로수 안전점검 요청
DEMO-2025-034,예산군,충청남도 예산군 덕산면,36.700,126.690,2025-09-22,병해충,처리중,은행나무길 병해충 신고
DEMO-2025-035,홍성군,충청남도 홍성군 홍성읍 오관리,36.601,126.660,2025-09-07,가지치기,처리완료,홍주성 인근 노거수 가지 정리
DEMO-2025-036,홍성군,충청남도 홍성군 홍성읍 갈산리,36.612,126.612,2025-07-22,병해충,처리완료,느티나무 시들음병 의심
DEMO-2025-037,홍성군,충청남도 홍성군 결성면,36.595,126.580,2025-10-15,위험목,접수,결성면 노거수 안전점검 요청
DEMO-2025-038,부여군,충청남도 부여군 부여읍 동남리 궁남지,36.273,126.913,2025-08-18,가지치기,처리완료,궁남지 버드나무 가지 정리
DEMO-2025-039,부여군,충청남도 부여군 부여읍 동남리 궁남지,36.273,126.913,2025-10-10,낙엽,처리중,궁남지 낙엽 정리 요청
DEMO-2025-040,부여군,충청남도 부여군 외산면,36.250,126.810,2025-09-05,위험목,처리완료,외산면 노거수 안전점검
DEMO-2025-041,금산군,충청남도 금산군 금산읍 상리,36.108,127.488,2025-09-20,위험목,접수,산림 인접 노거수 도복 우려
DEMO-2025-042,금산군,충청남도 금산군 남일면,36.080,127.470,2025-08-05,병해충,처리완료,소나무 재선충 의심 신고
DEMO-2025-043,금산군,충청남도 금산군 남일면,36.080,127.470,2025-10-22,위험목,접수,같은 지역 노거수 추가 점검 요청
DEMO-2025-044,서천군,충청남도 서천군 서면 마량리 동백나무숲 인근,36.062,126.535,2025-09-28,위험목,접수,소나무 재선충 의심
DEMO-2025-045,서천군,충청남도 서천군 종천면,36.130,126.640,2025-08-12,가지치기,처리완료,종천면 가로수 정리
DEMO-2025-046,청양군,충청남도 청양군 청양읍,36.459,126.802,2025-08-12,가지치기,처리완료,청양읍 가로수 정리
DEMO-2025-047,청양군,충청남도 청양군 청양읍,36.459,126.802,2025-09-25,위험목,처리중,같은 청양읍 노거수 안전점검 재요청
DEMO-2025-048,청양군,충청남도 청양군 정산면,36.420,126.870,2025-10-05,낙과,접수,정산면 은행나무 낙과
DEMO-2025-049,태안군,충청남도 태안군 안면읍 승언리,36.498,126.330,2025-09-18,위험목,처리중,안면도 자연휴양림 도복 우려
DEMO-2025-050,계룡시,충청남도 계룡시 두마면,36.275,127.249,2025-09-30,가지치기,접수,계룡시청 인근 메타세쿼이아 가지 정리
