시스템키,가로수길명,가로수길시작경도,가로수길시작위도,가로수길종료경도,가로수길종료위도,가로수종류,가로수수량,가로수길길이,식재년도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
9001,곡교천 은행나무길,127.005,36.785,127.025,36.795,은행나무,438,2.3,1971,곡교천변에 식재된 은행나무 가로수 명소. 가을 단풍철 인기 명소,곡교천로,지방도,염치읍 송곡리~염치읍 백암리,041-540-2350,충청남도 아산시청,2025-09-01,4520000,충청남도 아산시청
9002,신정호 둘레길 왕벚나무,127.005,36.760,127.020,36.755,왕벚나무,623,3.5,1985,신정호 둘레를 따라 식재된 왕벚나무 가로수. 봄철 벚꽃 명소,신정호로,지방도,득산동~신창면 가덕리,041-540-2350,충청남도 아산시청,2025-09-01,4520000,충청남도 아산시청
9003,외암민속마을 보호수길,127.014,36.745,127.022,36.748,느티나무,42,0.6,1900,외암민속마을 입구 노거수(보호수) 보존 구간,외암민속길,군도,송악면 외암리,041-540-2350,충청남도 아산시청,2025-09-01,4520000,충청남도 아산시청
9004,청양읍 청양로,126.802,36.459,126.812,36.465,왕벚나무,256,2.1,1995,청양읍 시가지를 가로지르는 벚꽃 가로수길,청양로,지방도,청양읍 읍내리~정산면 백곡리,041-940-2335,충청남도 청양군청,2025-09-01,4590000,충청남도 청양군청
9005,칠갑산로 단풍가로수,126.770,36.500,126.790,36.495,단풍나무,180,3.2,2003,칠갑산 진입로에 조성된 단풍나무 가로수. 가을 명소,칠갑산로,지방도,청양읍~대치면,041-940-2335,충청남도 청양군청,2025-09-01,4590000,충청남도 청양군청
9006,계룡시청 앞 메타세쿼이아,127.249,36.275,127.255,36.270,메타세쿼이아,124,0.8,2008,계룡시청 앞 메타세쿼이아 가로수,두마로,시도,두마면 입암리~금암동,042-840-2114,충청남도 계룡시청,2025-09-01,4545000,충청남도 계룡시청
9007,계룡대 진입로 가로수,127.230,36.282,127.249,36.275,왕벚나무+은행나무,310,2.5,1990,계룡대 진입로에 조성된 벚꽃·은행나무 가로수,국방대로,일반국도,두마면 두계리~금암동,042-840-2114,충청남도 계룡시청,2025-09-01,4545000,충청남도 계룡시청
9008,해미읍성 가로수길,126.557,36.694,126.567,36.690,느티나무+왕벚나무,210,1.5,1988,해미읍성 인근 역사 보호 가로수,해미로,군도,해미면 읍내리,041-660-2226,충청남도 서산시청,2025-09-01,4530000,충청남도 서산시청
9009,부석사 진입로 가로수,126.481,36.711,126.490,36.706,느티나무,156,1.2,1980,부석사 진입로 노거수 가로수,부석사로,군도,부석면 취평리,041-660-2226,충청남도 서산시청,2025-09-01,4530000,충청남도 서산시청
9010,탑정호 둘레길 왕벚나무,127.155,36.181,127.170,36.175,왕벚나무,489,4.2,2010,탑정호 수변 둘레길의 벚꽃 가로수,탑정로,지방도,부적면 탑정리~가야곡면,041-746-5345,충청남도 논산시청,2025-09-01,4540000,충청남도 논산시청
9011,안면도 자연휴양림 진입로,126.345,36.499,126.330,36.498,곰솔+상록수,289,2.0,1995,안면도 자연휴양림 진입로의 곰솔 가로수,자연휴양림로,일반국도,안면읍 승언리,041-670-2114,충청남도 태안군청,2025-09-01,4620000,충청남도 태안군청
9012,신두리 해안사구 가로수,126.241,36.852,126.250,36.847,해당화+곰솔,142,1.3,2005,신두리 해안사구 보호구역 진입 가로수,사구로,군도,원북면 신두리,041-670-2114,충청남도 태안군청,2025-09-01,4620000,충청남도 태안군청
