민원ID,시군,주소,위도,경도,접수일자,민원유형,처리상태,내용
COMP-2025-0001,천안시,충청남도 천안시 동남구 사직동 일원,36.815,127.114,2025-09-10,가지치기,처리완료,가로수 가지가 보행로를 가려 통행 위험 신고
COMP-2025-0002,천안시,충청남도 천안시 서북구 성정동,36.832,127.150,2025-08-22,낙과,처리중,은행나무 낙과로 미끄럼 위험
COMP-2025-0003,천안시,충청남도 천안시 동남구 광덕면 광덕리,36.703,127.130,2025-07-14,위험목,처리완료,오래된 노거수 가지 떨어짐 위험
COMP-2025-0004,당진시,충청남도 당진시 송악읍 부곡리,36.892,126.629,2025-08-30,가지치기,처리완료,가로수 가지 정리 요청
COMP-2025-0005,당진시,충청남도 당진시 면천면 성상리,36.880,126.700,2025-06-15,병해충,처리완료,벚나무 흰가루병 발생 신고
COMP-2025-0006,당진시,충청남도 당진시 신평면,36.880,126.620,2025-09-25,위험목,접수,산림 인접 노거수 도복 우려
COMP-2025-0007,공주시,충청남도 공주시 금성동,36.466,127.124,2025-07-20,위험목,처리완료,공산성 인근 노거수 안전점검 요청
COMP-2025-0008,공주시,충청남도 공주시 사곡면 운암리,36.448,127.054,2025-08-10,가지치기,처리중,가로수 가지 정리
COMP-2025-0009,서산시,충청남도 서산시 예천동,36.785,126.452,2025-09-05,낙엽,처리완료,중앙호수공원 낙엽 처리 요청
COMP-2025-0010,서산시,충청남도 서산시 동문1동,36.781,126.448,2025-07-18,낙과,처리완료,플라타너스 꽃가루 알러지 민원
COMP-2025-0011,아산시,충청남도 아산시 염치읍 곡교천변,36.789,127.012,2025-09-15,가지치기,처리중,곡교천 은행나무 가지 정리
COMP-2025-0012,아산시,충청남도 아산시 염치읍 곡교천변,36.789,127.012,2025-10-02,낙과,접수,은행나무 낙과로 보행 위험
COMP-2025-0013,아산시,충청남도 아산시 온양1동,36.785,127.005,2025-08-08,위험목,처리완료,온양천변 가로수 안전점검
COMP-2025-0014,논산시,충청남도 논산시 화지동,36.187,127.099,2025-09-12,가지치기,처리완료,논산천 벚꽃길 가지 정리
COMP-2025-0015,논산시,충청남도 논산시 취암동,36.198,127.099,2025-08-22,병해충,처리완료,왕벚나무 사철혹병 신고
COMP-2025-0016,보령시,충청남도 보령시 신흑동 대천해수욕장,36.317,126.521,2025-08-15,위험목,처리중,송림 노거수 도복 우려
COMP-2025-0017,보령시,충청남도 보령시 동대동,36.333,126.612,2025-07-08,가지치기,처리완료,시청 인근 가로수 정리
COMP-2025-0018,예산군,충청남도 예산군 응봉면 예당저수지,36.673,126.844,2025-09-03,낙엽,처리완료,예당호 둘레길 낙엽 처리
COMP-2025-0019,예산군,충청남도 예산군 예산읍 예산리,36.683,126.844,2025-08-29,위험목,접수,오래된 가로수 안전점검 요청
COMP-2025-0020,홍성군,충청남도 홍성군 홍성읍 오관리,36.601,126.660,2025-09-07,가지치기,처리완료,홍주성 인근 노거수 가지 정리
COMP-2025-0021,홍성군,충청남도 홍성군 홍성읍 갈산리,36.612,126.612,2025-07-22,병해충,처리완료,느티나무 시들음병 의심
COMP-2025-0022,부여군,충청남도 부여군 부여읍 동남리 궁남지,36.273,126.913,2025-08-18,가지치기,처리완료,궁남지 버드나무 가지 정리
COMP-2025-0023,금산군,충청남도 금산군 금산읍 상리,36.108,127.488,2025-09-20,위험목,접수,산림 인접 노거수 도복 우려
COMP-2025-0024,금산군,충청남도 금산군 남일면,36.080,127.470,2025-08-05,병해충,처리완료,소나무 재선충 의심 신고
COMP-2025-0025,서천군,충청남도 서천군 서면 마량리 동백나무숲 인근,36.062,126.535,2025-09-28,위험목,접수,소나무 재선충 의심
COMP-2025-0026,청양군,충청남도 청양군 청양읍,36.459,126.802,2025-08-12,가지치기,처리완료,청양천변 가로수 정리
COMP-2025-0027,태안군,충청남도 태안군 안면읍 승언리,36.498,126.330,2025-09-18,위험목,처리중,안면도 자연휴양림 도복 우려
COMP-2025-0028,당진시,충청남도 당진시 송산면 동곡리,36.897,126.647,2025-09-30,낙과,접수,어린이공원 인근 낙과 민원
COMP-2025-0029,천안시,충청남도 천안시 동남구 사직동,36.815,127.114,2025-10-05,가지치기,접수,사직동 가로수 추가 정리 요청
COMP-2025-0030,천안시,충청남도 천안시 동남구 사직동,36.815,127.114,2025-10-12,위험목,접수,같은 구역 노거수 안전점검 재요청
